CH Morris,178.89,65,26,1
JP Duminy,122.43,38.2,63,2
Q de Kock,136.08,37.08,111,4
KK Nair,120.2,35.7,71,2
P Negi,96.61,28.5,103,7
SV Samson,112.35,26.45,143,4
RR Pant,130.26,24.75,120,4
SW Billings,137.5,22,144,4
CR Brathwaite,218.42,13.83,28,1
MA Agarwal,108,9,84,7
SS Iyer,69.76,5,140,9
Imran Tahir,71.42,5,53,3
Z Khan,46.15,3,159,9
J Yadav,60,3,57,3
A Mishra,28.57,2,2,10
NM Coulter-Nile,64.28,0,99,9
Mohammed Shami,50,0,92,9
S Nadeem,20,0,127,8
AJ Finch,131.43,39.3,10,5
DR Smith,146.6,29.45,35,5
SK Raina,127.88,28.5,134,4
KD Karthik,125.93,25.76,68,2
JP Faulkner,130.5,25.66,64,2
BB McCullum,135.11,22.12,19,5
RA Jadeja,107.9,21.22,117,7
DS Kulkarni,168.75,13.5,36,1
DJ Bravo,120.73,12.37,32,5
ER Dwivedi,171.42,12,39,1
Ishan Kishan,102.43,8.4,55,3
AD Nath,74.07,6.66,7,3
P Kumar,92.3,6,102,7
DW Steyn,50,1,37,3
S Kaushik,0,0,125,8
PV Tambe,36.84,0,110,9
SB Jakati,50,0,131,9
S Ladda,0,0,126,8
PJ Sangwan,0,0,107,8
MP Stoinis,135.18,36.5,93,2
M Vijay,124.45,34.84,82,2
SE Marsh,118.65,31.8,132,4
HM Amla,131.93,26.16,49,5
WP Saha,127.35,24.54,155,4
M Vohra,122.9,23,83,2
Gurkeerat Singh,131.39,22.6,46,5
GJ Maxwell,144.35,19.88,45,5
P Sahu,146.15,19,104,2
DA Miller,122.9,16.1,30,5
AR Patel,144.15,15.85,15,5
KJ Abbott,162.5,13,70,2
KC Cariappa,118.18,13,67,2
NS Naik,74.19,11.5,100,9
MM Sharma,123.07,8,91,7
F Behardien,107.69,7,40,3
MG Johnson,35.71,2.5,87,9
Swapnil Singh,0,0,145,8
R Dhawan,233.33,0,114,6
Sandeep Sharma,88.88,0,130,9
Anureet Singh,0,0,13,10
YK Pathan,145.56,72.2,156,4
G Gambhir,121.89,38.53,42,5
MK Pandey,135.51,31,90,2
AD Russell,164.91,26.85,8,1
RV Uthappa,136.33,26.26,121,4
SA Yadav,127.27,26,128,4
CA Lynn,113.63,25,24,5
Shakib Al Hasan,107.54,22.8,133,4
C Munro,100,10,23,3
PP Chawla,103.84,9,108,7
UT Yadav,180,9,152,6
R Sathish,100,8,115,7
SP Narine,53.84,7,137,9
JO Holder,115.78,5.5,62,2
M Morkel,100,0,81,7
GB Hogg,0,0,43,10
JW Hastings,0,0,65,10
Kuldeep Yadav,0,0,76,10
AS Rajpoot,0,0,16,10
JD Unadkat,0,0,60,10
RG Sharma,132.88,44.45,118,4
KH Pandya,191.12,39.5,69,1
N Rana,138.66,34.66,97,2
Harbhajan Singh,109.52,30.66,47,5
AT Rayudu,120.14,30.36,17,5
KA Pollard,143.75,25.87,66,2
JC Buttler,138.58,23.18,59,2
MJ Guptill,103.63,19,88,7
PA Patel,116.44,17.7,105,7
R Vinay Kumar,108.33,13,116,7
MJ McClenaghan,147.82,11.33,89,2
TG Southee,157.89,10,148,4
JJ Bumrah,72.72,8,61,3
LMP Simmons,100,8,79,7
HH Pandya,69.84,6.28,48,3
S Gopal,12.5,2,124,8
UBT Chand,0,0,150,8
J Suchith,0,0,56,10
SPD Smith,153.4,45,138,4
AM Rahane,126.64,43.63,11,5
MS Dhoni,135.23,40.57,95,2
KP Pietersen,119.67,36.5,74,2
F du Plessis,127.16,34.33,41,5
R Bhatia,170,34,113,6
SS Tiwary,120.56,24.28,141,4
NLTC Perera,161.29,21.42,98,2
UT Khawaja,127,21.16,151,4
GJ Bailey,85.71,21,44,3
R Ashwin,107.89,20.5,112,7
JA Morkel,177.77,16,58,1
MR Marsh,63.63,7,94,9
PSP Handscomb,50,6,109,9
IK Pathan,84.61,3.66,52,3
M Ashwin,0,0,80,10
A Zampa,0,0,4,10
Ankit Sharma,100,0,12,3
I Sharma,0,0,51,10
SM Boland,0,0,135,8
DL Chahar,0,0,34,10
AB Dinda,0,0,6,10
RP Singh,0,0,119,8
V Kohli,152.03,81.08,153,4
AB de Villiers,168.79,52.84,5,1
KL Rahul,146.49,44.11,72,2
SN Khan,212.9,33,136,6
Sachin Baby,150.63,29.75,129,4
TM Head,135,27,149,4
CH Gayle,151.33,22.7,25,5
STR Binny,161.53,15.75,142,4
SR Watson,133.58,13.76,139,4
Parvez Rasool,111.11,10,106,7
CJ Jordan,75,3,27,3
KM Jadhav,131.25,0,73,2
Iqbal Abdulla,137.03,0,54,2
D Wiese,125,0,29,5
KW Richardson,100,0,78,7
VR Aaron,0,0,154,8
HV Patel,0,0,50,10
S Aravind,0,0,122,8
YS Chahal,0,0,157,8
Mandeep Singh,0,0,85,8
AF Milne,0,0,9,10
T Shamsi,0,0,146,8
DA Warner,151.42,60.57,31,5
S Dhawan,116.78,38.53,123,4
BCJ Cutting,191.17,32.5,21,1
Yuvraj Singh,131.84,26.22,158,4
Bipul Sharma,204,25.5,22,1
EJG Morgan,117.14,24.6,38,5
A Ashish Reddy,162.06,23.5,1,1
KS Williamson,101.63,20.66,75,7
MC Henriques,115.18,15.16,86,7
NV Ojha,98.55,13.6,101,7
DJ Hooda,119,10.28,33,5
B Kumar,159.25,7.16,18,1
AP Tare,53.33,4,14,3
KV Sharma,120,0,77,7
BB Sran,100,0,20,3
A Nehra,100,0,3,3
TA Boult,0,0,147,8
Mustafizur Rahman,0,0,96,8
