CH Morris,23.69,20.3,26,3
J Yadav,62.5,51,57,5
A Mishra,26.46,21.2,2,3
NM Coulter-Nile,38,30,99,2
Z Khan,33.7,26.2,159,9
JP Duminy,27.5,21,63,5
CR Brathwaite,27,19.8,28,3
S Nadeem,63.5,45,127,9
Imran Tahir,27.6,19.2,53,5
P Negi,84,54,103,4
Mohammed Shami,48.8,30.2,92,2
MA Agarwal,0,0,84,7
SW Billings,0,0,144,1
Q de Kock,0,0,111,7
SS Iyer,0,0,140,1
KK Nair,0,0,71,7
RR Pant,0,0,120,1
SV Samson,0,0,143,1
DS Kulkarni,20.22,16.3,36,3
RA Jadeja,38.87,30.1,117,2
P Kumar,44.55,34.3,102,2
SK Raina,0,0,134,1
S Kaushik,32,23,125,9
DR Smith,19.12,13.5,35,3
DW Steyn,0,0,37,6
DJ Bravo,29.05,19.7,32,3
SB Jakati,89,60,131,4
PV Tambe,28.6,19.2,110,2
JP Faulkner,83.5,51,64,8
S Ladda,0,0,126,1
PJ Sangwan,0,0,107,7
AD Nath,0,0,7,10
ER Dwivedi,0,0,39,6
AJ Finch,0,0,10,10
Ishan Kishan,0,0,55,6
KD Karthik,0,0,68,7
BB McCullum,0,0,19,10
Anureet Singh,0,0,13,10
Sandeep Sharma,24.4,20,130,9
Gurkeerat Singh,15.5,12,46,6
R Dhawan,28,21,114,2
M Vijay,0,0,82,7
AR Patel,29.84,22,15,3
P Sahu,48.66,35,104,2
MM Sharma,31.3,22.3,91,2
MP Stoinis,24.25,17.2,93,2
GJ Maxwell,0,0,45,6
KC Cariappa,53,34,67,5
MG Johnson,53,33,87,2
Swapnil Singh,0,0,145,1
KJ Abbott,88.5,48,70,8
HM Amla,0,0,49,6
F Behardien,0,0,40,6
SE Marsh,0,0,132,1
DA Miller,0,0,30,10
NS Naik,0,0,100,7
WP Saha,0,0,155,1
M Vohra,0,0,83,7
YK Pathan,33,36,156,9
JW Hastings,18.5,20,65,5
SP Narine,27.63,23.2,137,9
C Munro,0,0,23,10
PP Chawla,24.81,19.2,108,2
Shakib Al Hasan,48.6,37.2,133,9
JO Holder,51.5,39,62,5
AD Russell,19.4,14.6,8,3
Kuldeep Yadav,16.66,12,76,7
M Morkel,29.7,21.3,81,2
GB Hogg,35.5,24,43,5
AS Rajpoot,32.66,22,16,3
UT Yadav,23.4,15.6,152,9
R Sathish,59,36,115,2
JD Unadkat,0,0,60,6
G Gambhir,0,0,42,6
CA Lynn,0,0,24,10
MK Pandey,0,0,90,7
RV Uthappa,0,0,121,1
SA Yadav,0,0,128,1
N Rana,0,0,97,7
S Gopal,0,0,124,1
R Vinay Kumar,21.33,18,116,2
KH Pandya,39.33,31.1,69,5
TG Southee,36.55,28.6,148,9
JJ Bumrah,27.06,20.8,61,5
Harbhajan Singh,43.55,32.6,47,5
MJ McClenaghan,25.64,18.8,89,2
HH Pandya,51,33.3,48,5
KA Pollard,0,0,66,6
J Suchith,0,0,56,6
JC Buttler,0,0,59,6
UBT Chand,0,0,150,1
MJ Guptill,0,0,88,7
PA Patel,0,0,105,7
AT Rayudu,0,0,17,10
RG Sharma,0,0,118,1
LMP Simmons,0,0,79,7
MR Marsh,11.25,13.5,94,7
A Zampa,9.58,8.5,4,10
R Bhatia,40.66,34,113,2
R Ashwin,31.9,26.4,112,2
AB Dinda,21,16.6,6,3
IK Pathan,0,0,52,6
Ankit Sharma,84,66,12,8
SM Boland,27,21,135,9
DL Chahar,0,0,34,6
M Ashwin,34.42,24.4,80,2
RP Singh,37,24,119,2
NLTC Perera,36.22,22.1,98,2
I Sharma,49.33,30,51,5
JA Morkel,33,15,58,5
GJ Bailey,0,0,44,6
MS Dhoni,0,0,95,7
F du Plessis,0,0,41,6
PSP Handscomb,0,0,109,7
UT Khawaja,0,0,151,1
KP Pietersen,0,0,74,7
AM Rahane,0,0,11,10
SPD Smith,0,0,138,1
SS Tiwary,0,0,141,1
Sachin Baby,4,5,129,1
CH Gayle,31.5,30,25,3
S Aravind,19.63,15.9,122,9
STR Binny,134,102,142,4
YS Chahal,19.09,14,157,9
Iqbal Abdulla,35.5,25,54,5
SR Watson,24.25,16.9,139,9
T Shamsi,49,32,146,9
CJ Jordan,23.45,15.2,27,3
Parvez Rasool,129,84,106,4
VR Aaron,113.5,71,154,4
KW Richardson,19.42,12,78,7
HV Patel,147,84,50,8
AF Milne,43,24,9,3
D Wiese,0,0,29,10
V Kohli,0,0,153,1
AB de Villiers,0,0,5,10
TM Head,0,0,149,1
KM Jadhav,0,0,73,7
SN Khan,0,0,136,1
Mandeep Singh,0,0,85,7
KL Rahul,0,0,72,7
Mustafizur Rahman,24.76,21.5,96,2
KS Williamson,0,0,75,7
BCJ Cutting,16,13.4,21,3
B Kumar,21.3,17.2,18,3
DJ Hooda,32.33,26,33,3
A Nehra,22.11,17.3,3,3
MC Henriques,34.58,26,86,2
BB Sran,29.5,21.2,20,3
Yuvraj Singh,0,0,158,1
Bipul Sharma,40.33,28,22,3
TA Boult,39,24,147,9
A Ashish Reddy,39,23,1,3
KV Sharma,0,0,77,7
S Dhawan,0,0,123,1
EJG Morgan,0,0,38,6
NV Ojha,0,0,101,7
AP Tare,0,0,14,10
DA Warner,0,0,31,10
