Batting Cluster,Bowling Cluster,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W
1,10,0.375,0.4375,0.0625,0,0,0,0.125
1,2,0.286195286,0.390572391,0.067340067,0,0.107744108,0.097643098,0.050505051
1,3,0.33445946,0.290540541,0.08445946,0.003378378,0.148648649,0.087837838,0.050675676
1,4,0.289473684,0.421052632,0.02631579,0.02631579,0.131578947,0.105263158,0
1,5,0.254545455,0.445454546,0.054545455,0.018181818,0.136363636,0.072727273,0.018181818
1,7,0.222222222,0.444444444,0,0,0,0.222222222,0.111111111
1,8,0.25,0.392857143,0.035714286,0,0.107142857,0.178571429,0.035714286
1,9,0.31092437,0.277310924,0.096638656,0,0.12184874,0.130252101,0.06302521
2,1,0.266666667,0.466666667,0.133333333,0,0.1,0.033333333,0
2,10,0.317460318,0.476190476,0.079365079,0,0.063492064,0.031746032,0.031746032
2,2,0.340991536,0.38452237,0.07980653,0.00362757,0.110036276,0.035066505,0.045949214
2,3,0.345268542,0.360613811,0.072890026,0.006393862,0.118925831,0.044757033,0.051150895
2,4,0.286885246,0.5,0.049180328,0.008196721,0.081967213,0.057377049,0.016393443
2,5,0.354166667,0.393229167,0.080729167,0.002604167,0.083333333,0.049479167,0.036458333
2,6,0.327272727,0.309090909,0.127272727,0,0.109090909,0.127272727,0
2,7,0.358208955,0.328358209,0.074626866,0,0.089552239,0.089552239,0.059701493
2,8,0.329787234,0.319148936,0.106382979,0,0.180851064,0.031914894,0.031914894
2,9,0.406976744,0.331395349,0.083333333,0.001937985,0.102713178,0.034883721,0.03875969
3,1,0.25,0.5,0,0,0,0.25,0
3,10,0,1,0,0,0,0,0
3,2,0.433070866,0.354330709,0.023622047,0.007874016,0.070866142,0,0.110236221
3,3,0.488549618,0.335877863,0.038167939,0,0.076335878,0,0.061068702
3,4,0,1,0,0,0,0,0
3,5,0.525,0.325,0.05,0,0.075,0,0.025
3,6,0.333333333,0.666666667,0,0,0,0,0
3,7,0.47826087,0.217391304,0.173913044,0,0.086956522,0,0.043478261
3,9,0.458333333,0.333333333,0.041666667,0,0.0625,0.020833333,0.083333333
4,1,0.28125,0.515625,0.046875,0.015625,0.09375,0.046875,0
4,10,0.323076923,0.369230769,0.046153846,0,0.153846154,0.046153846,0.061538462
4,2,0.342281879,0.401342282,0.069127517,0.004026846,0.106040269,0.042281879,0.034899329
4,3,0.35984556,0.364478765,0.074903475,0.001544402,0.11969112,0.028571429,0.050965251
4,4,0.259493671,0.443037975,0.069620253,0,0.158227848,0.037974684,0.03164557
4,5,0.320325203,0.419512195,0.071544715,0.001626016,0.104065041,0.045528455,0.037398374
4,6,0.341772152,0.367088608,0.075949367,0,0.113924051,0.075949367,0.025316456
4,7,0.348214286,0.357142857,0.080357143,0,0.107142857,0.089285714,0.017857143
4,8,0.293233083,0.443609023,0.082706767,0,0.120300752,0.045112782,0.015037594
4,9,0.357303371,0.36741573,0.060674157,0.004494382,0.134831461,0.034831461,0.040449438
5,1,0.210526316,0.543859649,0.070175439,0,0.105263158,0.052631579,0.01754386
5,10,0.166666667,0.583333333,0.041666667,0,0.083333333,0.041666667,0.083333333
5,2,0.379310345,0.345735027,0.058983666,0.002722323,0.132486388,0.04446461,0.036297641
5,3,0.40063762,0.347502657,0.069075452,0,0.085015941,0.04250797,0.055260361
5,4,0.327044025,0.421383648,0.044025157,0,0.157232704,0.044025157,0.006289308
5,5,0.324489796,0.371428571,0.087755102,0.002040816,0.136734694,0.044897959,0.032653061
5,6,0.319587629,0.340206186,0.12371134,0,0.154639175,0.06185567,0
5,7,0.342592593,0.351851852,0.037037037,0.009259259,0.148148148,0.064814815,0.046296296
5,8,0.323232323,0.353535354,0.111111111,0,0.161616162,0.04040404,0.01010101
5,9,0.396878484,0.348940914,0.046822743,0.002229654,0.113712375,0.035674471,0.05574136
6,2,0.260869565,0.217391304,0.217391304,0,0.086956522,0.173913044,0.043478261
6,3,0,0.25,0,0,0.5,0.25,0
6,5,0.333333333,0.388888889,0.111111111,0,0.055555556,0.055555556,0.055555556
6,7,0.25,0,0.5,0,0,0,0.25
6,8,0,0.666666667,0,0,0,0.333333333,0
6,9,0.083333333,0.583333333,0.083333333,0,0.083333333,0,0.166666667
7,1,0.4,0.4,0,0,0,0,0.2
7,10,0.416666667,0.416666667,0,0,0,0.041666667,0.125
7,2,0.39556962,0.360759494,0.053797468,0.003164557,0.098101266,0.025316456,0.063291139
7,3,0.407624633,0.331378299,0.061583578,0.002932551,0.102639296,0.017595308,0.076246334
7,4,0.4,0.422222222,0.022222222,0.022222222,0.111111111,0.022222222,0
7,5,0.407142857,0.378571429,0.035714286,0,0.071428571,0.05,0.057142857
7,6,0.285714286,0.428571429,0.142857143,0.142857143,0,0,0
7,7,0.431372549,0.31372549,0.078431373,0,0,0.078431373,0.098039216
7,8,0.421052632,0.368421053,0.105263158,0,0.105263158,0,0
7,9,0.446153846,0.35,0.061538462,0.007692308,0.061538462,0.019230769,0.053846154
8,1,0.5,0,0,0,0,0,0.5
8,2,0.85,0.05,0,0,0,0,0.1
8,3,0.5,0,0,0,0,0,0.5
8,5,0.75,0.25,0,0,0,0,0
8,7,0.666666667,0.333333333,0,0,0,0,0
8,9,1,0,0,0,0,0,0
9,1,0.333333333,0.666666667,0,0,0,0,0
9,2,0.568627451,0.274509804,0.039215686,0,0.039215686,0.019607843,0.058823529
9,3,0.52238806,0.358208955,0.059701493,0,0,0,0.059701493
9,4,0.75,0,0,0,0.25,0,0
9,5,0.512195122,0.268292683,0.048780488,0,0.048780488,0,0.12195122
9,6,0.5,0.333333333,0,0,0.166666667,0,0
9,9,0.6,0.333333333,0,0,0,0,0.066666667
10,2,0.5,0.5,0,0,0,0,0
10,3,0.5,0,0,0,0,0,0.5
10,5,0.7,0.1,0,0,0,0,0.2
10,7,0.5,0,0,0,0,0,0.5
